l.p;Liczba maszyn;Liczba zadañ;Zakres Pj;Optymalny Cmax;NEH;;;FNEH ;;
;;;;;Wynik;Œredni czas;B³¹d wzglêdny;Wynik;Œredni czas;B³¹d wzglêdny
102;20;200;1-100;11445;11680;3.439712;0.020533;11680;0.057966;0.020533
103;20;200;1-100;11522;11853;3.362648;0.028728;11853;0.054656;0.028728
104;20;200;1-100;11461;11769;3.413593;0.026874;11769;0.050330;0.026874
105;20;200;1-100;11427;11604;3.473084;0.015490;11604;0.069003;0.015490
106;20;200;1-100;11368;11658;3.463512;0.025510;11658;0.045346;0.025510
107;20;200;1-100;11536;11792;3.355016;0.022191;11792;0.063507;0.022191
108;20;200;1-100;11544;11855;2.215961;0.026940;11855;0.021458;0.026940
109;20;200;1-100;11424;11681;1.248722;0.022496;11681;0.023276;0.022496
110;20;200;1-100;11548;11758;1.172861;0.018185;11758;0.021795;0.018185
111;20;500;1-100;26316;26752;18.483952;0.016568;26752;0.147322;0.016568
112;20;500;1-100;26807;27147;18.793715;0.012683;27147;0.170938;0.012683
113;20;500;1-100;26626;26924;18.726004;0.011192;26924;0.144942;0.011192
114;20;500;1-100;26642;27076;18.335441;0.016290;27076;0.137440;0.016290
115;20;500;1-100;26509;26833;19.059736;0.012222;26833;0.142332;0.012222
116;20;500;1-100;26654;27070;18.669453;0.015607;27070;0.197177;0.015607
117;20;500;1-100;26575;26854;18.986493;0.010499;26854;0.149828;0.010499
118;20;500;1-100;26794;27216;19.423999;0.015750;27216;0.160962;0.015750
119;20;500;1-100;26241;26555;20.697604;0.011966;26555;0.140564;0.011966
120;20;500;1-100;26662;27032;17.759675;0.013877;27032;0.136064;0.013877
